Induced Current (Î¼A),Frames Taken (1/30 s),0.005 / f*30 (m/s),Uncertainty (%)
0.3,3,0.05,79.1818666666667
0.3,3.5,0.04285714286,74.4
0.3,3,0.05,79.1818666666667
0.6,2,0.075,79.1818666666667
0.2,3.5,0.04285714286,91.1
0.4,2.5,0.06,77.5
0.1,5,0.03,132.5152
0.5,2,0.075,82.5152
0.4,2.5,0.06,77.5
0.5,1.5,0.1,99.2
0.5,2,0.075,82.5152
0.7,1.5,0.1,93.5
0.3,2.5,0.06,85.8
0.5,2,0.075,82.5152
0.2,3,0.05,95.8485333333333
0.6,1.5,0.1,95.8
0.1,3,0.05,145.848533333333
0.6,1.5,0.1,95.8
0.3,2.5,0.06,85.8
0.3,2,0.075,95.8485333333333
2.8,0.75,0.2,149.419961904762
0.3,2.5,0.06,85.8
0.3,2.5,0.06,85.8
0.5,1.5,0.1,99.2
0.3,2,0.075,95.8485333333333
0.3,2,0.075,95.8485333333333
0.5,2.5,0.06,72.5
0.3,2.5,0.06,85.8
0.3,2.5,0.06,85.8
2.8,1,0.15,116.086628571429
0.2,2.5,0.06,102.5
0.4,1.75,0.08571428571,94.6580571428571
0.2,2.5,0.06,102.5
0.3,2,0.075,95.8485333333333
0.5,1.75,0.08571428571,89.6580571428571
0.6,1.5,0.1,95.8
0.4,1.75,0.08571428571,94.6580571428571
2.8,0.5,0.3,216.1
0.4,2,0.075,87.5152
0.4,2,0.075,87.5152
0.3,2.5,0.06,85.8
0.7,1.5,0.1,93.5
0.3,2,0.075,95.8485333333333
0.7,1.5,0.1,93.5
0.2,3,0.05,95.8485333333333
0.4,2,0.075,87.5152
0.4,2,0.075,87.5152
0.3,2.5,0.06,85.8
0.5,1.5,0.1,99.2
0.3,2,0.075,95.8485333333333
0.6,1,0.15,129.181866666667
0.2,3,0.05,95.8485333333333
0.5,1.5,0.1,99.2
0.5,1.5,0.1,99.2
0.2,3,0.05,95.8485333333333
0.4,2,0.075,87.5152
0.1,3.5,0.04285714286,141.1
0.3,2,0.075,95.8485333333333
0.2,3.5,0.04285714286,91.1
0.5,1.5,0.1,99.2
0.3,2,0.075,95.8485333333333
0.5,1.25,0.12,112.5152
0.4,2.5,0.06,77.5
0.5,1.25,0.12,112.5152
0.4,2,0.075,87.5152
0.6,1,0.15,129.181866666667
0.1,4,0.0375,137.5152
0.6,1,0.15,129.181866666667
0.1,3.5,0.04285714286,141.1
0.6,1.5,0.1,95.8
0.6,1.25,0.12,109.181866666667
0.7,1.25,0.12,106.800914285714
0.1,4,0.0375,137.5152
0.3,2.5,0.06,85.8
0.5,1,0.15,132.5152
0.6,0.75,0.2,162.5152
0.5,1,0.15,132.5152
0.3,2,0.075,95.8485333333333
0.5,1.5,0.1,99.2
3.3,0.5,0.3,215.5
0.2,3,0.05,95.8485333333333
3,1,0.15,115.848533333333
0.4,2.5,0.06,77.5
3.5,0.5,0.3,215.4
0.4,2,0.075,87.5152
0.5,1,0.15,132.5152
0.3,2,0.075,95.8485333333333
0.4,1.5,0.1,104.2
0.5,1,0.15,132.5152
0.3,1,0.15,145.848533333333
0.6,0.75,0.2,162.5152
0.3,1.75,0.08571428571,102.99139047619
0.5,1,0.15,132.5152
0.4,1,0.15,137.5152
0.5,1.25,0.12,112.5152
0.4,2,0.075,87.5152
0.5,1,0.15,132.5152
0.3,2,0.075,95.8485333333333
0.6,0.75,0.2,162.5152